                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91064,                 1.3314,                  1.106,                0.69952,                0.59853,                0.66424,                0.43766,                 1.1548,                 1.2981,                  1.344,             0.00041356,             0.00041356,             0.00041356
                      2,                0.98975,                 1.0423,                 1.1489,                0.57774,                 0.5379,                0.53742,                0.32099,                   1.44,                 1.6026,                 1.6214,             0.00081379,             0.00081379,             0.00081379
                      3,                 1.0611,                 1.0911,                 1.1909,                0.61786,                 0.5263,                0.54413,                 0.3338,                 1.3976,                 1.6335,                 1.5778,              0.0011975,              0.0011975,              0.0011975
                      4,                 1.0413,                 1.0447,                 1.1741,                0.70446,                0.59075,                0.63206,                0.38673,                 1.3604,                 1.3413,                 1.5171,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.0028,                0.95937,                 1.1496,                0.82578,                0.58242,                 0.6674,                0.43786,                 1.2943,                 1.3838,                 1.4777,               0.001151,               0.001151,               0.001151
                      6,                0.96948,                0.94032,                 1.1391,                 0.7827,                0.63227,                0.70429,                0.46527,                 1.2004,                 1.1529,                 1.4215,              0.0011263,              0.0011263,              0.0011263
                      7,                 0.9323,                0.87988,                 1.1232,                0.73236,                0.61808,                0.68015,                0.45269,                 1.2004,                 1.2498,                 1.4067,              0.0011015,              0.0011015,              0.0011015
                      8,                 0.9161,                0.83787,                 1.1071,                 0.7658,                0.59734,                0.67156,                0.44905,                 1.1911,                 1.1984,                 1.3964,              0.0010768,              0.0010768,              0.0010768
                      9,                0.87584,                 0.7995,                 1.0845,                0.78043,                0.59232,                0.68048,                0.45473,                 1.2392,                 1.2432,                 1.4265,               0.001052,               0.001052,               0.001052
                     10,                0.87503,                0.79367,                 1.0825,                0.81484,                0.63671,                0.71802,                0.50578,                 1.1229,                 1.0644,                 1.3503,              0.0010273,              0.0010273,              0.0010273
                     11,                0.86171,                0.76842,                  1.084,                0.78691,                0.67787,                0.74587,                0.51223,                   1.12,                 1.0279,                 1.3504,              0.0010025,              0.0010025,              0.0010025
                     12,                0.83396,                0.72121,                 1.0708,                 0.8452,                0.65214,                0.74503,                0.52625,                  1.083,                 1.0505,                 1.3118,             0.00097775,             0.00097775,             0.00097775
                     13,                0.82197,                0.71351,                 1.0548,                0.81066,                 0.6542,                0.75042,                0.53287,                 1.0778,                 1.0044,                 1.3077,               0.000953,               0.000953,               0.000953
                     14,                0.81512,                0.67779,                 1.0524,                0.84695,                0.68549,                0.76331,                0.55661,                 1.0386,                0.99098,                 1.2793,             0.00092825,             0.00092825,             0.00092825
                     15,                0.78475,                0.66618,                 1.0376,                0.83408,                0.67085,                  0.745,                0.52558,                 1.0793,                 1.0283,                 1.3248,              0.0009035,              0.0009035,              0.0009035
