                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     16,                0.78494,                0.66246,                 1.0439,                0.79708,                0.66472,                0.74284,                0.54554,                  1.049,                 1.0331,                 1.2956,             0.00087875,             0.00087875,             0.00087875
                     17,                0.76212,                0.63507,                 1.0249,                0.83158,                0.70809,                0.76483,                 0.5431,                 1.0519,                0.95664,                 1.2929,               0.000854,               0.000854,               0.000854
                     18,                0.74196,                0.60667,                 1.0119,                0.84253,                0.68712,                0.75863,                0.55561,                 1.0301,                 0.9855,                 1.2886,             0.00082925,             0.00082925,             0.00082925
                     19,                0.74642,                0.61036,                 1.0216,                0.86113,                0.66036,                0.76016,                0.55069,                 1.0171,                0.97978,                 1.2754,              0.0008045,              0.0008045,              0.0008045
                     20,                0.73779,                0.59797,                 1.0178,                 0.8066,                0.68938,                0.75444,                 0.5479,                 1.0165,                 1.0064,                 1.2894,             0.00077975,             0.00077975,             0.00077975
                     21,                0.71669,                0.58246,                 1.0041,                 0.8695,                0.64928,                0.75462,                0.55803,                0.98964,                0.95691,                 1.2609,               0.000755,               0.000755,               0.000755
                     22,                0.71222,                0.56831,                 1.0008,                0.84141,                0.69911,                0.76601,                0.57185,                0.97619,                0.92895,                 1.2778,             0.00073025,             0.00073025,             0.00073025
                     23,                0.70733,                0.54782,                0.99369,                0.86795,                0.70932,                0.78134,                0.58308,                0.99664,                0.97253,                 1.2887,              0.0007055,              0.0007055,              0.0007055
                     24,                0.69528,                 0.5561,                0.99318,                0.84714,                0.67904,                0.75267,                0.56336,                 1.0027,                0.97945,                 1.2791,             0.00068075,             0.00068075,             0.00068075
                     25,                0.68812,                0.52811,                 0.9817,                0.80378,                0.68941,                0.75988,                0.57149,                0.98037,                0.97078,                 1.2552,               0.000656,               0.000656,               0.000656
                     26,                0.67277,                0.52204,                0.98037,                0.83794,                0.68898,                0.76811,                0.57107,                0.98598,                0.94018,                 1.2539,             0.00063125,             0.00063125,             0.00063125
                     27,                0.67473,                0.52169,                0.98423,                0.88835,                0.68237,                0.76655,                   0.57,                 1.0052,                0.96811,                  1.279,              0.0006065,              0.0006065,              0.0006065
                     28,                0.66166,                0.50576,                0.97633,                0.85089,                0.67433,                0.75408,                0.56002,                0.99341,                 1.0126,                 1.2762,             0.00058175,             0.00058175,             0.00058175
                     29,                0.64796,                0.49712,                 0.9716,                0.83065,                0.71452,                0.78494,                 0.5915,                0.98461,                0.95787,                 1.2726,               0.000557,               0.000557,               0.000557
                     30,                0.63941,                0.48037,                0.96551,                0.85725,                0.69233,                0.78126,                0.58755,                0.96545,                 0.9376,                 1.2371,             0.00053225,             0.00053225,             0.00053225
                     31,                0.64074,                0.47476,                0.96846,                0.87377,                0.69879,                0.78561,                0.59322,                0.94079,                0.94633,                  1.236,              0.0005075,              0.0005075,              0.0005075
                     32,                0.62408,                 0.4589,                  0.953,                0.84968,                0.70776,                0.77522,                0.59074,                0.95898,                0.92801,                 1.2387,             0.00048275,             0.00048275,             0.00048275
                     33,                0.62583,                0.46614,                0.95959,                0.87025,                 0.6984,                0.78744,                0.60868,                0.92221,                0.91493,                 1.2218,               0.000458,               0.000458,               0.000458
                     34,                0.61089,                0.44969,                0.95004,                0.89772,                0.69514,                0.78365,                0.58593,                  0.946,                0.90291,                 1.2274,             0.00043325,             0.00043325,             0.00043325
                     35,                0.59996,                0.44525,                0.95014,                0.85496,                0.71386,                0.79553,                0.60612,                0.92544,                0.90689,                 1.2164,              0.0004085,              0.0004085,              0.0004085
                     36,                 0.5993,                0.43928,                0.94407,                 0.8549,                0.71358,                0.79465,                0.61152,                0.90889,                0.88504,                 1.2134,             0.00038375,             0.00038375,             0.00038375
                     37,                0.60086,                 0.4325,                0.94679,                0.84939,                0.71213,                0.78163,                0.60333,                0.89039,                0.91932,                 1.2108,               0.000359,               0.000359,               0.000359
                     38,                0.58431,                0.42738,                0.94611,                0.87073,                0.71782,                0.78757,                0.60154,                 0.9123,                0.89283,                 1.2351,             0.00033425,             0.00033425,             0.00033425
                     39,                0.57909,                0.42119,                0.93805,                0.89136,                0.69253,                0.78601,                0.61738,                0.90767,                0.91712,                  1.204,              0.0003095,              0.0003095,              0.0003095
                     40,                0.57512,                0.41196,                0.93967,                0.88441,                0.69285,                 0.7857,                0.60653,                 0.9113,                0.90705,                 1.2193,             0.00028475,             0.00028475,             0.00028475
                     41,                 0.5686,                0.37591,                0.91351,                0.84347,                0.71934,                 0.7889,                0.60274,                0.91642,                0.89762,                 1.2288,                0.00026,                0.00026,                0.00026
                     42,                0.56036,                0.36516,                0.90561,                0.87187,                0.69359,                0.78867,                0.60487,                0.94118,                0.88703,                 1.2609,             0.00023525,             0.00023525,             0.00023525
                     43,                0.54443,                0.35473,                0.90353,                0.89281,                0.70856,                0.79789,                0.62068,                0.89742,                 0.9003,                 1.2237,              0.0002105,              0.0002105,              0.0002105
                     44,                0.52979,                0.34388,                0.89378,                0.87166,                0.70897,                0.78924,                0.61659,                0.90604,                0.91599,                 1.2352,             0.00018575,             0.00018575,             0.00018575
                     45,                0.52629,                0.34069,                0.89164,                0.84859,                0.71135,                0.78203,                0.61771,                0.91368,                 0.9318,                 1.2536,               0.000161,               0.000161,               0.000161
                     46,                 0.5198,                0.33771,                0.88717,                0.89514,                0.69985,                0.79598,                 0.6266,                0.88775,                0.88838,                 1.2161,             0.00013625,             0.00013625,             0.00013625
                     47,                0.51492,                0.33021,                0.88471,                0.87648,                0.71283,                0.79179,                0.62751,                0.89393,                0.92811,                 1.2274,              0.0001115,              0.0001115,              0.0001115
                     48,                0.50631,                0.32464,                0.88254,                0.86696,                0.71946,                0.79918,                0.62767,                0.90365,                0.89821,                 1.2497,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.50026,                0.31797,                0.87874,                0.88403,                0.70902,                0.79574,                 0.6263,                0.89124,                0.91004,                 1.2465,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                0.49282,                 0.3167,                 0.8765,                0.86027,                0.72513,                0.79764,                0.63089,                0.88588,                0.88878,                  1.237,              3.725e-05,              3.725e-05,              3.725e-05
