                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.67017,                0.66334,                0.99961,                0.84603,                0.72856,                0.79126,                0.64127,                0.79823,                0.92128,                 1.1723,               0.067149,             0.00026492,             0.00026492
                      2,                   0.68,                0.62662,                0.99562,                0.84773,                0.76929,                 0.8206,                0.66441,                 0.7809,                0.86126,                 1.1633,               0.034065,             0.00051405,             0.00051405
                      3,                0.67421,                0.60849,                0.98953,                0.89652,                 0.7389,                0.81118,                0.62689,                0.84842,                0.90607,                 1.2305,             0.00096344,             0.00074557,             0.00074557
                      4,                0.67494,                0.61075,                0.99142,                0.79778,                0.75436,                0.79791,                0.62704,                 0.8015,                0.94936,                  1.181,              0.0007208,              0.0007208,              0.0007208
                      5,                0.65836,                0.59619,                0.98959,                0.86308,                0.75269,                0.82557,                0.66641,                0.76932,                0.83875,                  1.153,              0.0006944,              0.0006944,              0.0006944
                      6,                0.65183,                 0.5877,                0.98651,                0.85941,                0.76148,                 0.8188,                0.65006,                0.81131,                  0.827,                 1.1871,               0.000668,               0.000668,               0.000668
                      7,                0.63952,                0.56849,                 0.9757,                0.85328,                0.73955,                0.80724,                0.65261,                0.76675,                 0.8703,                 1.1479,              0.0006416,              0.0006416,              0.0006416
                      8,                0.63753,                0.55914,                0.97431,                 0.8904,                0.75776,                0.82423,                0.66403,                0.75622,                0.83586,                 1.1442,              0.0006152,              0.0006152,              0.0006152
                      9,                0.62349,                0.53566,                0.96795,                 0.8974,                0.76195,                 0.8289,                0.67822,                 0.7612,                0.83899,                  1.156,              0.0005888,              0.0005888,              0.0005888
                     10,                0.61804,                0.52842,                0.96556,                0.86813,                 0.7624,                0.81518,                0.65299,                0.79903,                0.89695,                 1.1833,              0.0005624,              0.0005624,              0.0005624
                     11,                0.62468,                0.52298,                0.96233,                 0.8602,                0.77308,                0.83231,                0.67724,                0.74216,                0.83183,                 1.1327,               0.000536,               0.000536,               0.000536
                     12,                 0.6065,                0.51485,                0.95824,                0.92469,                0.76259,                 0.8432,                0.69129,                0.74391,                0.78428,                 1.1304,              0.0005096,              0.0005096,              0.0005096
                     13,                0.59723,                0.49348,                0.95762,                0.86778,                0.78188,                0.84876,                0.70097,                0.74897,                 0.7851,                  1.128,              0.0004832,              0.0004832,              0.0004832
                     14,                0.59059,                0.49138,                0.94813,                0.89113,                0.76652,                0.83917,                 0.6885,                0.73268,                0.80915,                  1.129,              0.0004568,              0.0004568,              0.0004568
                     15,                0.58571,                0.47454,                0.94444,                0.88569,                0.77833,                0.84656,                0.69259,                0.73975,                0.76557,                 1.1388,              0.0004304,              0.0004304,              0.0004304
                     16,                0.56898,                0.46149,                0.94073,                 0.9181,                0.75299,                0.83771,                0.69035,                0.74192,                0.77912,                 1.1295,               0.000404,               0.000404,               0.000404
                     17,                0.56706,                 0.4642,                0.94206,                0.89804,                0.76454,                0.84343,                0.70039,                0.70533,                0.77532,                 1.1145,              0.0003776,              0.0003776,              0.0003776
                     18,                0.56935,                0.44889,                0.93773,                0.90545,                0.76589,                0.85068,                0.69842,                0.72529,                0.73968,                 1.1349,              0.0003512,              0.0003512,              0.0003512
                     19,                0.55349,                 0.4476,                0.93158,                0.90117,                0.77063,                 0.8579,                 0.7092,                 0.7177,                0.73198,                 1.1304,              0.0003248,              0.0003248,              0.0003248
                     20,                0.55074,                0.43258,                0.93423,                0.92709,                0.76512,                0.85186,                0.71171,                0.69612,                0.75138,                 1.1086,              0.0002984,              0.0002984,              0.0002984
                     21,                0.54618,                 0.3786,                0.90652,                0.91035,                0.75451,                0.84618,                0.70185,                0.71973,                0.76002,                 1.1311,               0.000272,               0.000272,               0.000272
                     22,                0.53599,                0.36147,                0.90273,                0.89304,                0.77581,                0.84342,                0.69803,                0.70669,                0.77496,                 1.1196,              0.0002456,              0.0002456,              0.0002456
                     23,                0.52429,                0.35389,                0.89602,                0.90881,                0.77319,                0.84894,                0.71921,                0.68068,                0.74892,                  1.094,              0.0002192,              0.0002192,              0.0002192
                     24,                0.52593,                0.34835,                0.89874,                0.91766,                0.78398,                0.85515,                0.72127,                 0.6891,                0.74927,                 1.1075,              0.0001928,              0.0001928,              0.0001928
                     25,                0.50748,                0.33221,                0.88497,                0.89976,                0.78291,                0.85418,                0.72396,                0.69069,                0.78589,                  1.104,              0.0001664,              0.0001664,              0.0001664
                     26,                0.49887,                 0.3292,                0.88125,                0.91211,                0.76582,                0.84862,                0.71966,                0.67808,                0.78663,                  1.102,                0.00014,                0.00014,                0.00014
                     27,                0.49514,                0.32141,                0.87889,                0.90252,                0.78655,                0.84982,                0.72172,                0.68432,                0.76019,                 1.1121,              0.0001136,              0.0001136,              0.0001136
                     28,                0.48016,                0.31004,                0.87691,                0.92918,                0.77087,                0.85445,                 0.7295,                0.67006,                0.75094,                 1.0998,               8.72e-05,               8.72e-05,               8.72e-05
                     29,                0.48301,                0.30961,                0.87553,                0.88618,                 0.7997,                0.85407,                0.72864,                 0.6661,                  0.753,                 1.0875,               6.08e-05,               6.08e-05,               6.08e-05
                     30,                0.47002,                 0.3005,                0.87311,                0.89046,                0.79757,                0.85846,                0.73135,                0.65698,                0.77149,                 1.0802,               3.44e-05,               3.44e-05,               3.44e-05
