                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.68738,                 1.2697,                0.54791,                0.98308,                0.81311,                0.70758,                0.77195,                0.56462,                0.80275,                0.70659,                0.75901,                0.51528,                  0.989,                  2.135,                0.92718,                 1.2619,             0.00068075,             0.00068075,             0.00068075
                     25,                0.67665,                 1.2487,                0.52886,                0.96696,                0.82683,                0.72878,                0.78059,                0.57762,                 0.8426,                0.69957,                0.77255,                0.52422,                0.98436,                 2.1027,                0.94478,                 1.2606,               0.000656,               0.000656,               0.000656
                     26,                0.66981,                 1.2232,                0.52448,                0.97222,                0.88318,                0.69043,                0.77292,                0.58028,                0.87601,                0.68651,                0.76742,                0.53169,                  1.002,                 2.1023,                0.97738,                  1.291,             0.00063125,             0.00063125,             0.00063125
                     27,                0.66798,                 1.2164,                 0.5172,                0.96983,                0.84271,                0.71991,                0.76878,                 0.5781,                0.83214,                0.72289,                0.77005,                0.52533,                0.95859,                 2.0581,                0.91633,                 1.2416,              0.0006065,              0.0006065,              0.0006065
                     28,                0.65535,                 1.1861,                0.50138,                0.96429,                0.88303,                0.71077,                0.78428,                0.58495,                0.87579,                 0.7051,                0.78171,                0.54391,                0.98916,                 2.0946,                0.92799,                 1.2816,             0.00058175,             0.00058175,             0.00058175
                     29,                0.64259,                 1.1932,                 0.4968,                0.95808,                 0.8705,                 0.7067,                0.78099,                 0.5909,                  0.874,                0.70638,                0.77782,                0.53815,                0.93703,                 2.1041,                0.95776,                 1.2464,               0.000557,               0.000557,               0.000557
                     30,                0.63601,                 1.1501,                0.47548,                0.95448,                0.82524,                0.72489,                0.78558,                0.58906,                0.82337,                 0.7263,                0.77699,                0.53278,                0.96861,                 2.0523,                0.93256,                 1.2606,             0.00053225,             0.00053225,             0.00053225
                     31,                0.63346,                 1.1335,                0.47709,                0.95659,                0.84532,                0.72264,                0.78317,                0.59615,                0.84528,                0.72006,                0.78356,                0.53852,                0.95755,                 2.0706,                0.91763,                 1.2661,              0.0005075,              0.0005075,              0.0005075
                     32,                0.61905,                 1.1104,                0.46842,                0.94246,                0.84703,                0.70766,                0.77446,                0.58303,                0.82279,                0.70654,                0.76602,                0.53487,                0.95607,                 2.1609,                0.95572,                 1.2417,             0.00048275,             0.00048275,             0.00048275
                     33,                0.61743,                  1.127,                0.46834,                0.94642,                0.86799,                0.71928,                0.79844,                0.61847,                0.85764,                0.71761,                 0.7877,                 0.5499,                0.91707,                 1.9931,                0.89478,                 1.2214,               0.000458,               0.000458,               0.000458
                     34,                0.60651,                 1.1059,                0.45294,                0.94008,                0.84499,                0.73302,                0.79015,                0.60537,                0.82954,                0.71929,                0.78099,                0.54742,                0.93355,                 2.0176,                0.89092,                  1.209,             0.00043325,             0.00043325,             0.00043325
                     35,                0.59883,                 1.0738,                0.44278,                0.94221,                0.85935,                0.70443,                0.78449,                0.59758,                0.85272,                0.70522,                0.77554,                0.55123,                0.95677,                 2.0569,                 0.9331,                 1.2515,              0.0004085,              0.0004085,              0.0004085
                     36,                0.59976,                 1.0879,                0.44233,                0.93623,                0.85633,                0.71381,                0.77828,                 0.6032,                0.85232,                0.70038,                0.77086,                0.55386,                  0.889,                 2.0777,                 0.9045,                 1.2099,             0.00038375,             0.00038375,             0.00038375
                     37,                0.59684,                 1.0691,                0.43481,                0.93502,                0.87606,                0.71498,                0.79019,                0.60779,                0.85512,                0.71124,                0.77576,                0.55887,                0.91901,                 2.1161,                0.90398,                 1.2201,               0.000359,               0.000359,               0.000359
                     38,                0.57805,                  1.032,                0.42637,                0.93624,                0.85511,                0.74081,                0.78922,                 0.6009,                0.84878,                0.73502,                 0.7825,                0.55186,                0.92934,                 2.0112,                0.87707,                  1.231,             0.00033425,             0.00033425,             0.00033425
                     39,                0.57839,                 1.0506,                0.42276,                0.92901,                0.87138,                0.72707,                0.79411,                0.61343,                0.86995,                  0.712,                0.77951,                0.55608,                0.92171,                 2.0679,                0.86759,                   1.24,              0.0003095,              0.0003095,              0.0003095
                     40,                 0.5673,                  1.028,                0.41424,                0.92534,                0.85555,                0.73123,                0.78142,                0.60215,                0.84797,                0.72693,                0.77163,                0.54526,                0.91164,                 2.0971,                 0.9034,                  1.229,             0.00028475,             0.00028475,             0.00028475
                     41,                0.56903,                 1.0032,                0.38807,                0.90793,                0.86415,                0.71312,                0.78464,                0.60702,                0.87945,                0.70998,                0.78511,                0.54876,                0.93239,                 2.1582,                0.92976,                 1.2455,                0.00026,                0.00026,                0.00026
                     42,                0.55904,                0.96728,                0.37303,                0.89994,                0.87925,                0.72453,                0.78781,                0.61202,                0.85324,                0.71688,                0.76814,                0.55006,                0.93905,                 2.1707,                0.92916,                 1.2572,             0.00023525,             0.00023525,             0.00023525
                     43,                0.55061,                0.96384,                0.36138,                0.89973,                0.84162,                0.72491,                0.78532,                 0.6174,                0.84285,                0.72238,                0.78252,                 0.5617,                0.90471,                 2.1279,                0.90646,                 1.2386,              0.0002105,              0.0002105,              0.0002105
                     44,                0.53627,                0.94527,                  0.356,                0.88893,                0.88448,                0.70008,                0.78023,                0.61035,                0.85809,                0.70027,                0.76256,                0.55937,                0.91752,                    2.2,                0.93011,                  1.253,             0.00018575,             0.00018575,             0.00018575
                     45,                0.53286,                0.93125,                 0.3521,                0.88961,                0.84969,                0.73978,                0.80026,                0.63286,                 0.8401,                0.72757,                0.78918,                0.57083,                0.89507,                 2.1753,                 0.8707,                   1.25,               0.000161,               0.000161,               0.000161
                     46,                0.52148,                0.91884,                0.34363,                0.88386,                0.89996,                0.70664,                0.79504,                0.62696,                0.88761,                0.69688,                0.78118,                0.56635,                0.88953,                 2.1859,                0.87759,                 1.2411,             0.00013625,             0.00013625,             0.00013625
                     47,                 0.5171,                0.91247,                0.33917,                0.88051,                0.85044,                0.73026,                0.78895,                0.62277,                0.84457,                0.72574,                0.77538,                0.56109,                0.88675,                 2.1961,                0.87737,                 1.2337,              0.0001115,              0.0001115,              0.0001115
                     48,                0.50466,                0.90447,                0.33214,                0.87515,                0.91172,                0.69536,                0.79032,                0.62253,                0.90855,                0.69268,                0.77963,                0.56132,                 0.9074,                 2.2058,                0.88792,                 1.2589,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.50205,                0.88427,                0.32704,                0.87594,                 0.9161,                0.69824,                0.79481,                0.62866,                0.91095,                0.69305,                0.78271,                0.57071,                0.89239,                 2.1632,                 0.8701,                 1.2473,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                0.49714,                 0.8815,                0.32437,                0.87437,                0.90465,                0.71244,                0.79874,                0.62992,                0.89137,                 0.7039,                0.78677,                0.57112,                0.88865,                 2.1546,                0.87334,                 1.2416,              3.725e-05,              3.725e-05,              3.725e-05
