                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     12,                0.85094,                0.82229,                 1.0736,                0.82325,                0.70335,                0.78112,                0.58525,                 1.1366,                 1.1544,                 1.3847,             0.00097775,             0.00097775,             0.00097775
                     13,                0.82037,                0.79596,                 1.0663,                0.85612,                 0.6801,                0.78899,                0.59429,                 1.0931,                 1.0417,                 1.3393,               0.000953,               0.000953,               0.000953
                     14,                0.81124,                0.75393,                  1.052,                0.86215,                0.70972,                 0.7861,                0.60296,                 1.0196,                 1.0802,                 1.2938,             0.00092825,             0.00092825,             0.00092825
                     15,                 0.8079,                 0.7409,                 1.0507,                0.83325,                0.70672,                0.79898,                0.61272,                 1.0258,                 1.0475,                 1.2793,              0.0009035,              0.0009035,              0.0009035
                     16,                0.79102,                0.73123,                 1.0372,                 0.8872,                 0.7277,                0.81476,                0.63043,                 1.1422,                 1.1119,                 1.4428,             0.00087875,             0.00087875,             0.00087875
                     17,                0.77229,                0.70344,                 1.0303,                0.90123,                0.73743,                0.82135,                0.62318,                 1.1567,                  1.045,                  1.418,               0.000854,               0.000854,               0.000854
                     18,                0.77475,                0.68633,                 1.0301,                 0.9063,                0.71513,                0.80659,                0.60309,                 1.0667,                 1.0652,                 1.3545,             0.00082925,             0.00082925,             0.00082925
                     19,                0.75482,                0.68167,                 1.0318,                0.83162,                0.73298,                 0.7972,                 0.6113,                 1.1024,                 1.0412,                 1.3497,              0.0008045,              0.0008045,              0.0008045
                     20,                0.75357,                0.66451,                 1.0209,                0.87087,                0.76232,                0.82374,                0.64323,                 1.0455,                 1.0064,                 1.3335,             0.00077975,             0.00077975,             0.00077975
                     21,                0.73085,                 0.6497,                 1.0146,                0.86116,                0.74146,                0.81549,                0.63798,                0.99765,                 1.0141,                 1.2901,               0.000755,               0.000755,               0.000755
                     22,                0.72722,                0.63881,                 1.0152,                0.85584,                0.71735,                 0.7938,                0.62102,                0.99783,                 1.0041,                  1.283,             0.00073025,             0.00073025,             0.00073025
                     23,                 0.7233,                0.62993,                 1.0028,                0.89026,                0.74986,                0.82826,                0.66034,                0.99172,                0.93527,                 1.2999,              0.0007055,              0.0007055,              0.0007055
                     24,                0.70464,                0.60712,                0.99592,                0.90376,                0.74218,                0.82445,                0.65491,                 1.0088,                0.97784,                  1.302,             0.00068075,             0.00068075,             0.00068075
                     25,                0.69431,                0.58326,                  0.993,                0.88443,                 0.7551,                0.83239,                0.66603,                0.98495,                0.93014,                 1.2696,               0.000656,               0.000656,               0.000656
                     26,                0.68959,                0.57899,                0.99226,                0.87287,                0.75509,                 0.8316,                 0.6614,                0.93027,                0.91714,                 1.2557,             0.00063125,             0.00063125,             0.00063125
                     27,                0.67842,                  0.568,                0.97767,                0.85212,                0.78427,                0.82262,                0.66017,                0.94556,                0.92455,                 1.2546,              0.0006065,              0.0006065,              0.0006065
                     28,                0.67317,                0.56248,                 0.9816,                0.90351,                0.78441,                0.84094,                0.67455,                0.90286,                0.87199,                 1.1941,             0.00058175,             0.00058175,             0.00058175
                     29,                0.66201,                0.53587,                0.97454,                0.87888,                0.75268,                0.82238,                0.65178,                0.94361,                0.90301,                 1.2822,               0.000557,               0.000557,               0.000557
                     30,                0.65346,                0.54325,                0.97298,                0.89335,                 0.7568,                0.83343,                0.66273,                0.94785,                0.90753,                 1.2641,             0.00053225,             0.00053225,             0.00053225
                     31,                0.65162,                0.52578,                0.96985,                0.88463,                0.77589,                0.83842,                0.67754,                0.88901,                0.80522,                  1.221,              0.0005075,              0.0005075,              0.0005075
                     32,                0.63819,                0.51728,                0.97025,                0.87227,                0.77838,                0.84399,                0.68198,                0.90837,                0.84749,                 1.2156,             0.00048275,             0.00048275,             0.00048275
                     33,                0.61903,                 0.4942,                0.95867,                0.87832,                0.76466,                0.84562,                0.68956,                0.86353,                0.78792,                  1.185,               0.000458,               0.000458,               0.000458
                     34,                0.62452,                0.50215,                0.95936,                0.86172,                0.78084,                 0.8357,                0.67644,                0.89447,                0.82882,                 1.2395,             0.00043325,             0.00043325,             0.00043325
                     35,                0.61795,                0.49315,                0.95968,                0.88549,                0.76149,                0.83905,                0.67719,                0.94687,                 0.9448,                 1.2363,              0.0004085,              0.0004085,              0.0004085
                     36,                0.61039,                0.47744,                0.94501,                0.89852,                0.78416,                0.84528,                0.67723,                0.93429,                0.89974,                 1.2332,             0.00038375,             0.00038375,             0.00038375
                     37,                0.60598,                0.47141,                0.95183,                0.90379,                0.78105,                0.85776,                0.69452,                0.89337,                0.79532,                  1.206,               0.000359,               0.000359,               0.000359
                     38,                 0.6039,                0.46882,                0.94955,                0.90838,                0.77411,                0.84171,                0.67732,                0.94423,                0.90712,                 1.2635,             0.00033425,             0.00033425,             0.00033425
                     39,                 0.5856,                0.44367,                0.93964,                0.89837,                0.77369,                0.84107,                0.68267,                0.95615,                 0.9158,                 1.2671,              0.0003095,              0.0003095,              0.0003095
                     40,                 0.5822,                0.44789,                 0.9393,                0.89199,                0.79692,                0.85383,                0.69698,                0.96252,                0.87811,                 1.2663,             0.00028475,             0.00028475,             0.00028475
                     41,                0.58643,                0.41081,                0.92762,                0.88868,                0.77995,                0.84646,                0.68812,                0.89788,                0.86562,                 1.2277,                0.00026,                0.00026,                0.00026
                     42,                 0.5825,                0.39424,                 0.9204,                0.90656,                0.77863,                0.84614,                0.68555,                0.91495,                0.84986,                 1.2575,             0.00023525,             0.00023525,             0.00023525
                     43,                0.56348,                0.37456,                0.91242,                0.87043,                0.77177,                 0.8428,                0.69214,                0.92463,                0.84597,                 1.2581,              0.0002105,              0.0002105,              0.0002105
                     44,                0.55446,                0.36811,                0.90457,                0.89651,                0.77424,                0.84435,                0.69883,                0.89172,                0.82218,                 1.2303,             0.00018575,             0.00018575,             0.00018575
                     45,                0.54652,                0.36388,                0.90154,                0.90161,                0.77675,                0.84957,                0.69916,                0.90328,                0.84487,                 1.2351,               0.000161,               0.000161,               0.000161
                     46,                0.54295,                0.35312,                0.89592,                0.89786,                 0.8023,                0.85024,                0.70384,                0.87542,                0.80758,                 1.2164,             0.00013625,             0.00013625,             0.00013625
                     47,                0.52899,                0.34526,                0.89107,                0.90766,                0.77958,                0.84682,                0.69807,                0.90126,                0.85621,                 1.2261,              0.0001115,              0.0001115,              0.0001115
                     48,                0.53006,                 0.3427,                0.89224,                0.89876,                0.78829,                0.84976,                0.70192,                0.87201,                0.83183,                 1.2115,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.52141,                0.33891,                0.88628,                0.91565,                0.77845,                0.85721,                 0.7122,                0.86433,                0.80282,                  1.214,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                0.50955,                0.33113,                0.88348,                  0.912,                0.77854,                0.85447,                0.71015,                0.87082,                0.80749,                 1.2208,              3.725e-05,              3.725e-05,              3.725e-05
