                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97634,                 1.5444,                 1.1437,                0.72101,                0.54184,                0.63326,                0.43901,                 1.1486,                 1.5668,                 1.4007,             0.00041356,             0.00041356,             0.00041356
                      2,                 1.0355,                 1.2188,                 1.1751,                0.53748,                0.38968,                 0.3717,                 0.2278,                 1.5431,                 2.2263,                 1.7424,             0.00081379,             0.00081379,             0.00081379
                      3,                 1.0716,                 1.2202,                 1.1999,                0.61089,                0.51527,                0.56364,                0.36552,                 1.4475,                 2.3134,                 1.6977,              0.0011975,              0.0011975,              0.0011975
                      4,                 1.0734,                 1.2011,                 1.1995,                0.74475,                 0.5582,                0.66556,                0.42731,                 1.4162,                 1.4903,                 1.6652,              0.0011757,              0.0011757,              0.0011757
                      5,                  1.022,                 1.0974,                 1.1764,                0.74587,                0.57229,                0.63928,                0.43496,                 1.3441,                 1.7501,                 1.5787,               0.001151,               0.001151,               0.001151
                      6,                0.98218,                 1.0321,                 1.1599,                0.75072,                0.59526,                0.65404,                 0.4622,                 1.2949,                 1.5568,                 1.5271,              0.0011263,              0.0011263,              0.0011263
                      7,                0.96218,                 1.0154,                 1.1407,                0.84283,                0.66036,                0.74887,                0.54898,                 1.1388,                  1.301,                 1.3951,              0.0011015,              0.0011015,              0.0011015
                      8,                0.92261,                0.95922,                 1.1232,                0.80844,                0.66794,                0.73695,                0.54212,                 1.1326,                  1.226,                 1.3781,              0.0010768,              0.0010768,              0.0010768
                      9,                0.90531,                0.90488,                  1.113,                 0.8221,                 0.6987,                0.76284,                0.54964,                 1.1824,                 1.3205,                 1.4355,               0.001052,               0.001052,               0.001052
                     10,                0.89149,                0.89056,                 1.1039,                0.83114,                0.72229,                0.78186,                0.58322,                 1.1071,                 1.2011,                 1.3995,              0.0010273,              0.0010273,              0.0010273
                     11,                0.86568,                0.84104,                 1.0882,                0.81682,                0.71935,                0.77442,                0.57473,                 1.1491,                  1.194,                  1.358,              0.0010025,              0.0010025,              0.0010025
