                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.65671,                 1.2413,                0.52467,                0.99392,                0.84857,                 0.7119,                0.78033,                0.58467,                0.85312,                 0.6989,                0.76606,                0.53023,                0.95969,                 2.0004,                0.92886,                 1.2643,             0.00068075,             0.00068075,             0.00068075
                     25,                0.64844,                 1.2099,                0.50815,                0.97749,                0.87149,                0.69286,                0.78672,                 0.5999,                0.86827,                0.68988,                0.78083,                0.55141,                0.91622,                 2.0557,                0.87961,                 1.2521,               0.000656,               0.000656,               0.000656
                     26,                0.63765,                 1.1992,                0.50695,                0.98039,                0.84753,                0.72665,                0.79425,                0.59573,                0.86184,                0.70505,                0.78027,                0.54396,                0.94797,                 1.9932,                0.87981,                 1.2726,             0.00063125,             0.00063125,             0.00063125
                     27,                 0.6334,                 1.1878,                0.50437,                0.97707,                0.85015,                 0.7329,                 0.8109,                0.62225,                0.84438,                0.72663,                0.79821,                0.54234,                0.89375,                 1.9762,                0.82206,                 1.2478,              0.0006065,              0.0006065,              0.0006065
                     28,                0.61863,                 1.1416,                0.48323,                0.97196,                0.85758,                0.72679,                0.79358,                0.61594,                0.85563,                0.72808,                0.78643,                0.55126,                0.89644,                 2.0752,                 0.8582,                  1.223,             0.00058175,             0.00058175,             0.00058175
                     29,                0.60785,                 1.1494,                0.47599,                0.96595,                0.85565,                0.73196,                0.80475,                0.61645,                0.84879,                0.73976,                0.80073,                0.55164,                0.90786,                 2.1142,                0.85583,                 1.2402,               0.000557,               0.000557,               0.000557
                     30,                0.59802,                 1.1091,                0.45236,                0.95889,                0.88685,                0.72247,                0.81042,                0.62169,                0.88499,                0.72845,                0.80572,                0.55633,                0.88275,                 1.9573,                0.82401,                 1.2443,             0.00053225,             0.00053225,             0.00053225
                     31,                0.60134,                 1.0927,                0.45457,                0.96489,                  0.881,                0.72804,                0.80484,                0.61069,                0.87643,                0.73319,                0.79486,                0.56379,                0.90826,                 1.9539,                0.84558,                 1.2457,              0.0005075,              0.0005075,              0.0005075
                     32,                0.58494,                 1.0656,                  0.443,                0.94923,                0.87604,                0.73169,                0.80515,                0.61588,                0.86709,                0.72445,                0.78957,                0.55075,                0.91448,                 2.0353,                0.82687,                  1.238,             0.00048275,             0.00048275,             0.00048275
                     33,                0.58027,                 1.0751,                0.44024,                0.94905,                0.87474,                0.73152,                0.80663,                0.62393,                0.87013,                0.70667,                0.78834,                0.55429,                0.88182,                 1.9735,                0.84217,                 1.2224,               0.000458,               0.000458,               0.000458
                     34,                0.57171,                 1.0503,                0.42992,                0.94371,                0.87776,                0.71099,                0.79526,                0.61071,                0.85747,                0.70503,                0.77954,                0.54455,                0.89612,                 1.9842,                 0.8537,                 1.2424,             0.00043325,             0.00043325,             0.00043325
                     35,                0.56042,                 1.0306,                0.41852,                0.94499,                 0.8866,                0.70932,                0.79664,                0.61371,                0.87625,                0.70307,                0.78269,                0.55444,                0.90847,                 2.0556,                0.85681,                 1.2653,              0.0004085,              0.0004085,              0.0004085
                     36,                0.55726,                 1.0313,                0.41538,                0.93865,                0.88169,                0.72096,                0.80696,                0.61407,                0.88472,                0.72279,                0.79394,                0.55474,                0.88925,                 2.0247,                0.80103,                 1.2393,             0.00038375,             0.00038375,             0.00038375
                     37,                0.55499,                 1.0152,                0.41026,                0.93796,                 0.8386,                0.74709,                0.80565,                0.62332,                0.83095,                0.74673,                 0.7966,                0.56711,                0.89764,                 2.0016,                0.81293,                 1.2628,               0.000359,               0.000359,               0.000359
                     38,                0.53941,                0.98173,                0.39947,                0.93639,                 0.9062,                0.73491,                0.81249,                0.63091,                0.89351,                0.72136,                0.79315,                0.57002,                0.86144,                  2.057,                0.81471,                 1.2337,             0.00033425,             0.00033425,             0.00033425
                     39,                 0.5402,                 0.9944,                0.39974,                0.93035,                0.87502,                0.71487,                0.78575,                 0.6163,                0.86975,                 0.7099,                0.77175,                0.55607,                0.89053,                 2.0387,                0.86708,                 1.2516,              0.0003095,              0.0003095,              0.0003095
                     40,                0.52374,                0.96116,                0.38465,                0.92396,                0.88421,                0.71809,                  0.805,                0.62717,                 0.8807,                0.70417,                0.78513,                0.56894,                0.87081,                 2.0137,                0.82534,                 1.2502,             0.00028475,             0.00028475,             0.00028475
                     41,                0.51465,                0.92569,                0.34658,                0.89375,                0.87195,                0.71755,                0.80248,                0.62868,                0.89267,                 0.7031,                0.79579,                0.56875,                0.86683,                 2.0008,                0.84464,                 1.2371,                0.00026,                0.00026,                0.00026
                     42,                0.50535,                0.91671,                0.33504,                0.88651,                0.88228,                0.71881,                 0.7985,                0.63554,                0.87794,                0.71914,                0.79002,                0.57088,                0.86267,                 2.1509,                 0.8475,                 1.2452,             0.00023525,             0.00023525,             0.00023525
                     43,                0.50118,                0.89545,                0.32469,                0.88932,                0.88267,                0.73524,                0.80937,                0.63961,                0.87987,                0.72439,                0.80207,                0.58178,                0.84575,                 2.0497,                0.80425,                 1.2336,              0.0002105,              0.0002105,              0.0002105
                     44,                0.48294,                0.87142,                0.31736,                0.87749,                0.88032,                0.72349,                0.80088,                0.63693,                0.87563,                0.72171,                0.78968,                0.57606,                0.86216,                 2.0909,                0.81656,                 1.2503,             0.00018575,             0.00018575,             0.00018575
                     45,                0.48413,                0.86611,                0.31535,                0.88011,                 0.8608,                0.74167,                 0.8017,                  0.642,                 0.8691,                0.73039,                0.79885,                0.57667,                0.85661,                 2.0986,                0.83651,                 1.2509,               0.000161,               0.000161,               0.000161
                     46,                0.47135,                0.85587,                 0.3065,                 0.8725,                0.88977,                0.72874,                0.81138,                0.64889,                0.88517,                0.72356,                0.80346,                   0.59,                0.82997,                 2.0514,                0.79446,                 1.2272,             0.00013625,             0.00013625,             0.00013625
                     47,                0.46766,                0.85872,                0.30285,                0.87069,                0.86442,                0.73309,                0.80684,                0.64097,                0.84932,                0.73144,                0.79515,                0.58267,                 0.8482,                 2.1046,                 0.8073,                 1.2535,              0.0001115,              0.0001115,              0.0001115
                     48,                0.45558,                0.83421,                0.29269,                0.86397,                0.87139,                0.73177,                0.80739,                0.65097,                0.83589,                0.73955,                0.79435,                0.58294,                0.83962,                 2.0833,                0.82259,                 1.2531,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.45019,                0.81505,                0.28759,                0.86219,                0.85819,                0.73643,                0.80269,                0.64534,                0.85891,                0.73599,                0.79325,                0.58312,                0.83651,                 2.1117,                0.83395,                 1.2512,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                0.44529,                 0.8072,                0.28353,                0.86356,                 0.8679,                0.72876,                0.80322,                0.64699,                0.86552,                0.72648,                0.79074,                0.58284,                0.83559,                 2.1092,                0.83377,                 1.2479,              3.725e-05,              3.725e-05,              3.725e-05
